epoch,batch,global_step,d_loss,d_acc,g_loss,g_adv,g_recon,g_id
0,0,0,2.9348726,287.74585,18.907091,1.2957759,0.6612698,0.6612698
0,1,1,2.1684742,208.26251,17.564,1.0788981,0.6305299,0.6305299
0,2,2,1.7831826,174.3616,16.571096,1.0919855,0.61175346,0.61175346
0,3,3,1.5634669,159.03221,15.560375,1.0797801,0.58447456,0.58447456
0,4,4,1.3757496,142.54369,14.888924,1.0177667,0.5636459,0.5636459
0,5,5,1.2289741,126.574936,14.398848,0.96818924,0.5454035,0.5454035
0,6,6,1.1339339,114.33237,13.995975,0.9243256,0.52860665,0.52860665
0,7,7,1.046496,105.2686,13.631803,0.867541,0.5118747,0.5118747
0,8,8,0.98009455,97.49735,13.272225,0.826163,0.50033027,0.50033027
0,9,9,0.93947953,92.000984,12.981409,0.791784,0.48964116,0.48964116
0,10,10,0.891268,86.95256,12.776998,0.76751995,0.48182115,0.48182115
0,11,11,0.8556611,83.460106,12.515559,0.73748565,0.47335023,0.47335023
0,12,12,0.8223423,80.324646,12.335505,0.7240521,0.46730402,0.46730402
0,13,13,0.79456884,78.01819,12.124467,0.7087032,0.4591538,0.4591538
0,14,14,0.7732817,76.067245,11.974749,0.69975114,0.4520878,0.4520878
0,15,15,0.7479833,73.51042,11.815845,0.68216985,0.44638222,0.44638222
0,16,16,0.73065543,71.4585,11.67607,0.67484134,0.44078326,0.44078326
0,17,17,0.7108902,69.49302,11.5817995,0.66400474,0.4373482,0.4373482
0,18,18,0.69799817,68.61307,11.458337,0.65042245,0.43067822,0.43067822
0,19,19,0.6849836,67.39587,11.355328,0.6494457,0.42568967,0.42568967
0,20,20,0.6726354,65.92654,11.229549,0.6384584,0.41993514,0.41993514
0,21,21,0.6586503,64.51605,11.12908,0.6271051,0.4147688,0.4147688
0,22,22,0.6443932,62.897015,11.036895,0.62172216,0.40923533,0.40923533
0,23,23,0.6363816,62.113728,10.93125,0.6108711,0.40470403,0.40470403
0,24,24,0.6248194,60.821007,10.829891,0.6003398,0.40081638,0.40081638
0,25,25,0.6146378,59.858643,10.737391,0.59263074,0.39702237,0.39702237
0,26,26,0.6046351,58.9275,10.639544,0.58623564,0.3921415,0.3921415
0,27,27,0.597144,57.985516,10.587017,0.57970744,0.38945955,0.38945955
0,28,28,0.5915706,57.52526,10.497794,0.5725488,0.38585734,0.38585734
0,29,29,0.58552945,56.973934,10.4260435,0.5618195,0.38354346,0.38354346
0,30,30,0.5805272,56.522285,10.354129,0.56028545,0.38052562,0.38052562
0,31,31,0.5746543,55.84495,10.28767,0.558777,0.37790763,0.37790763
0,32,32,0.5681716,55.294342,10.202123,0.55701995,0.37470564,0.37470564
0,33,33,0.5632211,54.864166,10.122618,0.55222315,0.37123227,0.37123227
0,34,34,0.5584871,54.48935,10.063059,0.5520328,0.3688043,0.3688043
0,35,35,0.5529393,54.002823,10.030678,0.5531123,0.3670903,0.3670903
0,36,36,0.5477811,53.42291,9.984179,0.5491018,0.3642595,0.3642595
0,37,37,0.54348457,52.887188,9.926164,0.54672194,0.3616022,0.3616022
0,38,38,0.53887916,52.404774,9.874422,0.5439796,0.3593124,0.3593124
0,39,39,0.5349512,52.010345,9.81523,0.53740394,0.35690385,0.35690385
0,40,40,0.5328567,51.755352,9.763432,0.53725964,0.35451058,0.35451058
0,41,41,0.52846426,51.28391,9.709954,0.5336343,0.35254472,0.35254472
0,42,42,0.5254253,51.016235,9.668866,0.52877367,0.3509416,0.3509416
0,43,43,0.52192485,50.819443,9.620806,0.528738,0.34869698,0.34869698
0,44,44,0.51821923,50.52616,9.57835,0.5264496,0.347263,0.347263
0,45,45,0.5153847,50.287575,9.52249,0.52371794,0.34472147,0.34472147
0,46,46,0.5113055,49.908684,9.472559,0.519033,0.34270674,0.34270674
0,47,47,0.5076424,49.551712,9.426322,0.51817405,0.34081352,0.34081352
0,48,48,0.5042453,49.188225,9.381053,0.5126762,0.33872518,0.33872518
0,49,49,0.5004071,48.79766,9.334261,0.5091171,0.33693585,0.33693585
0,50,50,0.49700236,48.394222,9.296495,0.5058846,0.33548397,0.33548397
0,51,51,0.49383023,48.134846,9.262657,0.5044734,0.3335639,0.3335639
0,52,52,0.49142465,47.85208,9.237056,0.5044486,0.33235583,0.33235583
0,53,53,0.48852518,47.51267,9.207693,0.50506574,0.33114332,0.33114332
0,54,54,0.4855342,47.255875,9.167737,0.50191706,0.3294242,0.3294242
0,55,55,0.4824447,46.971428,9.125519,0.49942768,0.32828042,0.32828042
0,56,56,0.4787132,46.59724,9.097401,0.4982789,0.32740396,0.32740396
0,57,57,0.4754397,46.313023,9.063279,0.4948516,0.32567325,0.32567325
0,58,58,0.47216624,46.059536,9.020017,0.49225286,0.32406235,0.32406235
0,59,59,0.4700785,45.907616,8.993785,0.49420553,0.3225513,0.3225513
0,60,60,0.467013,45.628765,8.966514,0.49442655,0.32181898,0.32181898
0,61,61,0.4641794,45.331238,8.933482,0.49175385,0.32021943,0.32021943
1,0,62,0.46110308,45.005608,8.9026375,0.48900035,0.31926495,0.31926495
1,1,63,0.4576444,44.649815,8.867441,0.4846094,0.31781602,0.31781602
1,2,64,0.45460993,44.349133,8.844298,0.48189968,0.31692553,0.31692553
1,3,65,0.45175847,44.11013,8.816731,0.48042017,0.31593525,0.31593525
1,4,66,0.44883865,43.781643,8.795397,0.4784767,0.3152984,0.3152984
1,5,67,0.44600335,43.506477,8.770989,0.4740907,0.31425467,0.31425467
1,6,68,0.4427008,43.204826,8.739325,0.4726166,0.3132433,0.3132433
1,7,69,0.4397636,42.9316,8.709417,0.47105393,0.3118691,0.3118691
1,8,70,0.4371914,42.69762,8.690791,0.4713456,0.31092948,0.31092948
1,9,71,0.43467546,42.47677,8.665284,0.46904245,0.3101125,0.3101125
1,10,72,0.43246174,42.31211,8.638698,0.47111186,0.30872604,0.30872604
1,11,73,0.42986482,42.070076,8.612138,0.46921894,0.3080299,0.3080299
1,12,74,0.4275564,41.85402,8.594442,0.46842527,0.3069087,0.3069087
1,13,75,0.4248823,41.58666,8.583003,0.46836594,0.30647653,0.30647653
1,14,76,0.42289174,41.410778,8.566791,0.4669286,0.30570388,0.30570388
1,15,77,0.42059058,41.212513,8.535109,0.4627259,0.3046259,0.3046259
1,16,78,0.41784334,40.989235,8.511697,0.4627313,0.3034636,0.3034636
1,17,79,0.4157919,40.79062,8.495101,0.46364212,0.3026379,0.3026379
1,18,80,0.41340506,40.53897,8.46807,0.46186772,0.3017329,0.3017329
1,19,81,0.4112866,40.377743,8.453231,0.46244395,0.30105183,0.30105183
1,20,82,0.4095414,40.218513,8.438771,0.4617045,0.3003004,0.3003004
1,21,83,0.40733808,40.00544,8.422354,0.4607768,0.29964575,0.29964575
1,22,84,0.40537387,39.81584,8.403203,0.45868307,0.29884487,0.29884487
1,23,85,0.40393394,39.671314,8.375307,0.45674857,0.2977523,0.2977523
1,24,86,0.40205473,39.498253,8.358355,0.4555997,0.29658642,0.29658642
1,25,87,0.40033755,39.33096,8.347829,0.45583987,0.29597154,0.29597154
1,26,88,0.39785862,39.109234,8.328507,0.455344,0.29516664,0.29516664
1,27,89,0.39547968,38.898396,8.305388,0.45371756,0.29443726,0.29443726
1,28,90,0.3938424,38.75845,8.281336,0.45353615,0.29333863,0.29333863
1,29,91,0.39144707,38.53367,8.272007,0.45147723,0.29280123,0.29280123
1,30,92,0.3895151,38.35013,8.260784,0.45024967,0.29223606,0.29223606
1,31,93,0.3875065,38.174267,8.249861,0.45252678,0.2915826,0.2915826
1,32,94,0.3857482,38.003723,8.235135,0.45223394,0.29107147,0.29107147
1,33,95,0.38427252,37.872444,8.221701,0.451789,0.2904577,0.2904577
1,34,96,0.38296762,37.76783,8.206332,0.45030662,0.28985593,0.28985593
1,35,97,0.38164786,37.64285,8.184176,0.45010656,0.28898835,0.28898835
1,36,98,0.38014424,37.47723,8.167317,0.44980252,0.28820285,0.28820285
1,37,99,0.37894255,37.36544,8.161646,0.4500984,0.28779376,0.28779376
1,38,100,0.37735304,37.208046,8.151667,0.449225,0.28729954,0.28729954
1,39,101,0.37585866,37.085217,8.136532,0.44967106,0.2867546,0.2867546
1,40,102,0.37417275,36.891495,8.126585,0.44822675,0.28620905,0.28620905
1,41,103,0.3729201,36.78036,8.109152,0.4463763,0.28546396,0.28546396
1,42,104,0.37195623,36.711292,8.097017,0.44663417,0.28513667,0.28513667
1,43,105,0.37075227,36.61457,8.081051,0.4456636,0.2845357,0.2845357
1,44,106,0.36932874,36.4467,8.069109,0.44688538,0.28404137,0.28404137
1,45,107,0.36779124,36.322254,8.060376,0.44650307,0.28358614,0.28358614
1,46,108,0.36660868,36.185795,8.042795,0.4468519,0.28293693,0.28293693
1,47,109,0.365253,36.04497,8.029429,0.44524047,0.2825386,0.2825386
1,48,110,0.36373246,35.867836,8.013182,0.44494188,0.28186113,0.28186113
1,49,111,0.36225653,35.71419,7.9994087,0.44376716,0.28134292,0.28134292
1,50,112,0.36099732,35.603745,7.983699,0.4429105,0.28090242,0.28090242
1,51,113,0.35975748,35.484726,7.97125,0.4421176,0.2803228,0.2803228
1,52,114,0.35836872,35.33977,7.955944,0.44009295,0.27980044,0.27980044
1,53,115,0.3571459,35.21297,7.942251,0.43948424,0.27912438,0.27912438
1,54,116,0.35574514,35.100014,7.932374,0.44036192,0.27841803,0.27841803
1,55,117,0.35431468,34.953136,7.9172816,0.4403479,0.27789807,0.27789807
1,56,118,0.35301808,34.85142,7.902015,0.43806037,0.27741873,0.27741873
1,57,119,0.35167664,34.74049,7.89021,0.43738332,0.27699205,0.27699205
1,58,120,0.35012814,34.607864,7.883633,0.43853477,0.27632487,0.27632487
1,59,121,0.34893674,34.53238,7.869003,0.43786123,0.27564657,0.27564657
1,60,122,0.3474195,34.403603,7.8605394,0.4378622,0.2754114,0.2754114
1,61,123,0.34596765,34.269073,7.849476,0.4389471,0.27494892,0.27494892
2,0,124,0.3443068,34.107006,7.8286767,0.4369741,0.27439427,0.27439427
2,1,125,0.34276474,33.98611,7.8137875,0.43564567,0.27391523,0.27391523
2,2,126,0.34174874,33.899284,7.805785,0.435735,0.27351522,0.27351522
2,3,127,0.34064546,33.79802,7.796756,0.43585512,0.27312776,0.27312776
2,4,128,0.33962354,33.72136,7.7859173,0.43662715,0.27268663,0.27268663
2,5,129,0.33827516,33.6053,7.774977,0.43701762,0.27226007,0.27226007
2,6,130,0.33687615,33.490395,7.762126,0.43692178,0.27168727,0.27168727
2,7,131,0.33574647,33.374477,7.748428,0.43653643,0.2713484,0.2713484
2,8,132,0.33452654,33.273773,7.743505,0.438375,0.27113408,0.27113408
2,9,133,0.3330019,33.143745,7.732689,0.43839625,0.27071843,0.27071843
2,10,134,0.33180004,33.044033,7.721573,0.4378956,0.27029806,0.27029806
2,11,135,0.33042544,32.908237,7.711782,0.43612513,0.269978,0.269978
2,12,136,0.32914805,32.7826,7.70109,0.4352456,0.26956213,0.26956213
2,13,137,0.3281325,32.67998,7.6913533,0.435477,0.26915076,0.26915076
2,14,138,0.32701755,32.590897,7.679301,0.43488425,0.26867038,0.26867038
2,15,139,0.3258714,32.475067,7.6669965,0.43346143,0.26830715,0.26830715
2,16,140,0.32498765,32.393795,7.6579723,0.43469512,0.2677525,0.2677525
2,17,141,0.32410777,32.31978,7.648203,0.43558863,0.26720208,0.26720208
2,18,142,0.32321674,32.234573,7.6370287,0.43515152,0.26671708,0.26671708
2,19,143,0.32230693,32.156784,7.629049,0.43491027,0.26648176,0.26648176
2,20,144,0.3213628,32.065823,7.6212974,0.43479082,0.26621822,0.26621822
2,21,145,0.32013407,31.942219,7.6101995,0.43364173,0.2658619,0.2658619
2,22,146,0.31919873,31.860048,7.6014786,0.4340305,0.2654835,0.2654835
2,23,147,0.31817034,31.77479,7.589981,0.43288833,0.26514837,0.26514837
2,24,148,0.31733093,31.715466,7.583316,0.43369704,0.2648433,0.2648433
2,25,149,0.31643194,31.6449,7.5758176,0.43410343,0.26454246,0.26454246
2,26,150,0.3156844,31.58422,7.5675783,0.43378574,0.2641518,0.2641518
2,27,151,0.31492454,31.528288,7.558719,0.43349332,0.2636828,0.2636828
2,28,152,0.3138738,31.437016,7.549378,0.43342376,0.26330236,0.26330236
2,29,153,0.31310722,31.367142,7.541855,0.43434063,0.26291656,0.26291656
2,30,154,0.31220204,31.267994,7.533522,0.43455565,0.26250315,0.26250315
2,31,155,0.31130415,31.185364,7.5261374,0.43512726,0.26210418,0.26210418
2,32,156,0.3104759,31.09225,7.5177603,0.4337195,0.26176244,0.26176244
2,33,157,0.30946738,31.00403,7.50543,0.43313676,0.26131535,0.26131535
2,34,158,0.30841154,30.908358,7.4950495,0.43323,0.2609445,0.2609445
2,35,159,0.30750346,30.82014,7.485963,0.43315077,0.26057896,0.26057896
2,36,160,0.3065942,30.746761,7.482977,0.4342178,0.26031005,0.26031005
2,37,161,0.30577466,30.678019,7.47326,0.4337298,0.25994578,0.25994578
2,38,162,0.30476534,30.59332,7.4651237,0.43436337,0.25954834,0.25954834
2,39,163,0.30400652,30.514404,7.458105,0.43455708,0.25925028,0.25925028
2,40,164,0.30317798,30.433167,7.4536853,0.43498093,0.25910842,0.25910842
2,41,165,0.30222005,30.34299,7.444309,0.43505788,0.2587619,0.2587619
2,42,166,0.3013619,30.260092,7.4420295,0.43468097,0.2587526,0.2587526
2,43,167,0.3006048,30.198944,7.4379177,0.4357544,0.25849968,0.25849968
2,44,168,0.29975927,30.100548,7.434228,0.43527105,0.25812554,0.25812554
2,45,169,0.29908568,30.053448,7.4263086,0.43539524,0.2577658,0.2577658
2,46,170,0.29823136,29.965464,7.418464,0.4341744,0.25754252,0.25754252
2,47,171,0.2975484,29.916924,7.4099655,0.43398675,0.25713146,0.25713146
2,48,172,0.29684192,29.852354,7.4043865,0.43487296,0.2567581,0.2567581
2,49,173,0.2960849,29.778893,7.3964095,0.43452922,0.2564253,0.2564253
2,50,174,0.29547626,29.71627,7.389674,0.43485725,0.25624192,0.25624192
2,51,175,0.29470086,29.645752,7.3842154,0.4340493,0.25594255,0.25594255
2,52,176,0.2939038,29.562395,7.381932,0.43323302,0.25580072,0.25580072
2,53,177,0.29318988,29.490726,7.379326,0.43329176,0.25560924,0.25560924
2,54,178,0.29252544,29.434591,7.372012,0.4330162,0.25535697,0.25535697
2,55,179,0.29171735,29.332935,7.3629103,0.43289587,0.255045,0.255045
2,56,180,0.29097828,29.270279,7.353821,0.432422,0.25452402,0.25452402
2,57,181,0.29035157,29.211702,7.347011,0.43148947,0.25418907,0.25418907
2,58,182,0.2897823,29.162363,7.3389435,0.4319885,0.25382996,0.25382996
2,59,183,0.28899097,29.077274,7.330629,0.4325538,0.25352132,0.25352132
2,60,184,0.28830424,28.994518,7.327183,0.43336868,0.25337467,0.25337467
2,61,185,0.28765833,28.937346,7.32395,0.43442863,0.25325444,0.25325444
3,0,186,0.2869122,28.86625,7.3197584,0.43472034,0.25304464,0.25304464
3,1,187,0.28619012,28.799984,7.3111324,0.43476942,0.25278535,0.25278535
3,2,188,0.2854373,28.714228,7.306337,0.43473807,0.25252652,0.25252652
3,3,189,0.28471184,28.633934,7.29989,0.4338559,0.25230077,0.25230077
3,4,190,0.28407544,28.579882,7.2960787,0.4336328,0.25212628,0.25212628
3,5,191,0.28345847,28.535372,7.28972,0.43339714,0.2518398,0.2518398
3,6,192,0.28273532,28.46232,7.283384,0.43281272,0.25157878,0.25157878
3,7,193,0.28213602,28.38659,7.275232,0.43250233,0.25129336,0.25129336
3,8,194,0.281614,28.345177,7.2691,0.43150422,0.25109383,0.25109383
3,9,195,0.2810642,28.298334,7.262735,0.43081436,0.25082645,0.25082645
